First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Tunxis,Macedonia,Cockaponsett,Total
NICK,DECIO,*,*,*,76.35,*,*,*,*,*,76.35
Michael,Ball,*,*,*,*,*,*,*,76.24,*,76.24
MICHAEL,WISHART,*,76.18,*,*,*,*,*,*,*,76.18
Adam,Rissolo,*,*,*,*,*,*,*,76.13,*,76.13
Dean,Lindell,*,*,*,*,*,*,*,*,76.11,76.11
JOSHUA,ALABRE,*,*,*,75.90,*,*,*,*,*,75.90
E,To,*,*,*,*,*,*,*,*,75.74,75.74
Charlie,Iselin,*,*,*,*,*,*,*,*,75.61,75.61
Ronald,Toth,*,*,*,*,*,*,*,*,75.61,75.61
MATTHEW,LEPAGE,*,75.61,*,*,*,*,*,*,*,75.61
 Richard,Fernandes,*,*,75.57,*,*,*,*,*,*,75.57
JASON,CEBULA,75.48,*,*,*,*,*,*,*,*,75.48
ROBERT,AMATRUDA,75.31,*,*,*,*,*,*,*,*,75.31
Rick,Shoup,*,*,*,*,*,75.18,*,*,*,75.18
PAUL,TREHERN,75.03,*,*,*,*,*,*,*,*,75.03
Edward,Shibley,*,*,*,*,*,74.26,*,*,*,74.26
RAY,MARTIN,*,73.93,*,*,*,*,*,*,*,73.93
Steven,Pantazopoulos,*,*,*,*,*,*,*,73.78,*,73.78
 John,Hankins,*,*,73.56,*,*,*,*,*,*,73.56
 Christopher,Saunders,*,*,73.51,*,*,*,*,*,*,73.51
Erik,Kastner,*,*,*,*,73.41,*,*,*,*,73.41
Chip,Carney,*,*,*,*,73.40,*,*,*,*,73.40
Patrick,Turek,*,*,*,*,*,*,73.34,*,*,73.34
Nelson,Costa Jr,*,*,*,*,*,*,*,73.27,*,73.27
MATTHEW,KMETZ,72.89,*,*,*,*,*,*,*,*,72.89
Scott,Hines,*,*,*,*,*,*,*,*,72.80,72.80
Adam,Tull,*,*,*,*,72.71,*,*,*,*,72.71
Tim,Donovan,*,*,*,*,*,*,*,72.61,*,72.61
COREY,ACKER,72.33,*,*,*,*,*,*,*,*,72.33
HAROLD,DOUGHTY,71.93,*,*,*,*,*,*,*,*,71.93
 Brian,Barclay,*,*,71.75,*,*,*,*,*,*,71.75
 Sean,McGee,*,*,71.75,*,*,*,*,*,*,71.75
KYLE,FONTAINE,71.64,*,*,*,*,*,*,*,*,71.64
Matthew,Blanchette,*,*,*,*,71.46,*,*,*,*,71.46
BRIAN,COCUZZO,71.17,*,*,*,*,*,*,*,*,71.17
Jeff,Jakobsen,*,*,*,*,*,*,71.15,*,*,71.15
 James,Kentro,*,*,71.12,*,*,*,*,*,*,71.12
EVAN,MURDZEK,*,71.03,*,*,*,*,*,*,*,71.03
DAVID,ORT,*,70.98,*,*,*,*,*,*,*,70.98
Loubriel,Ramirez,*,*,*,*,*,*,*,*,70.94,70.94
DEREK,WELCH,*,70.92,*,*,*,*,*,*,*,70.92
 Lucas,Canavan,*,*,70.91,*,*,*,*,*,*,70.91
Brad,Sabean,*,*,*,*,70.81,*,*,*,*,70.81
 Rick,Canavan,*,*,70.74,*,*,*,*,*,*,70.74
 Pearson,Davis,*,*,70.68,*,*,*,*,*,*,70.68
Michael,Avicolli,*,*,*,*,70.64,*,*,*,*,70.64
Cody,Stone,*,*,*,*,*,70.59,*,*,*,70.59
 Gene,Whitaker,*,*,70.37,*,*,*,*,*,*,70.37
 Timothy,Plaza,*,*,70.36,*,*,*,*,*,*,70.36
Jon,Kornacki,*,*,*,*,*,*,*,*,70.13,70.13
Cael,Finn,*,*,*,*,70.09,*,*,*,*,70.09
TONY,BONANNO,*,*,*,70.05,*,*,*,*,*,70.05
CHRIS,CANNA,*,*,*,70.01,*,*,*,*,*,70.01
David,Aucoin,*,*,*,*,69.97,*,*,*,*,69.97
 Tim,Varga,*,*,69.91,*,*,*,*,*,*,69.91
Joshua,Lautenschlager,*,*,*,*,*,*,*,69.48,*,69.48
Chris,Carigliano,*,*,*,*,69.28,*,*,*,*,69.28
ALEX,SWINFORD,*,69.15,*,*,*,*,*,*,*,69.15
Kaj,Johnson,*,*,*,*,*,*,*,69.12,*,69.12
David,Dzurec,*,*,*,*,69.07,*,*,*,*,69.07
TREY,WAVERSAK,69.06,*,*,*,*,*,*,*,*,69.06
Joe,Domogala,*,*,*,*,*,68.48,*,*,*,68.48
 Matthew,Fischer,*,*,68.25,*,*,*,*,*,*,68.25
Jacob,Nadeau,*,*,*,*,68.21,*,*,*,*,68.21
Brendan,Arbuckle,*,*,*,*,67.98,*,*,*,*,67.98
PAUL,SCHNED,67.80,*,*,*,*,*,*,*,*,67.80
 Nima,Zangeneh,*,*,67.75,*,*,*,*,*,*,67.75
 Kevin,MacDonald,*,*,67.64,*,*,*,*,*,*,67.64
Ty,Finn,*,*,*,*,67.57,*,*,*,*,67.57
MICHAEL,REED,*,*,*,67.52,*,*,*,*,*,67.52
Greg,Howard,*,*,*,*,67.35,*,*,*,*,67.35
James,Coleman,*,*,*,*,67.32,*,*,*,*,67.32
Richard,Fielding,*,*,*,*,67.32,*,*,*,*,67.32
 Jed,Rategan,*,*,67.18,*,*,*,*,*,*,67.18
CHRIS,MAHONEY,67.07,*,*,*,*,*,*,*,*,67.07
Russell,Hammoind,*,*,*,*,*,*,*,*,66.83,66.83
DAVID,AUCOIN,66.64,*,*,*,*,*,*,*,*,66.64
 David,Wade,*,*,66.55,*,*,*,*,*,*,66.55
JAMES,MCGUIRE,66.19,*,*,*,*,*,*,*,*,66.19
Adam,VonPaternos,*,*,*,*,65.98,*,*,*,*,65.98
 Jacob,Lindsey,*,*,65.85,*,*,*,*,*,*,65.85
MATTHEW,GUILMETIC,*,65.71,*,*,*,*,*,*,*,65.71
Ben,Green,*,*,*,*,*,*,65.56,*,*,65.56
Andrew,Horn,*,*,*,*,*,*,65.01,*,*,65.01
 Jose,Rivera,*,*,64.78,*,*,*,*,*,*,64.78
 James,Sweney,*,*,64.70,*,*,*,*,*,*,64.70
Wesley,Barnard,*,*,*,*,64.63,*,*,*,*,64.63
JESSE,VANEK,64.61,*,*,*,*,*,*,*,*,64.61
JEFFERY,FERNALD,*,64.54,*,*,*,*,*,*,*,64.54
MIKE,PATRIZZ,*,64.52,*,*,*,*,*,*,*,64.52
Daniel,Gallagher,*,*,*,*,*,*,*,64.52,*,64.52
PATRICK,COLLINS,*,*,*,64.33,*,*,*,*,*,64.33
Paul,Sulzicki,*,*,*,*,*,*,64.30,*,*,64.30
Tucker,Preston,*,*,*,*,64.27,*,*,*,*,64.27
Walter,Chen,*,*,*,*,*,*,*,63.87,*,63.87
MICHAEL,MCDUFFIE,*,63.63,*,*,*,*,*,*,*,63.63
Matt,Griswold,*,*,*,*,63.55,*,*,*,*,63.55
STEPHEN,CARY,63.50,*,*,*,*,*,*,*,*,63.50
Chris,Choiniere,*,*,*,*,*,63.24,*,*,*,63.24
Jose,Simoes,*,*,*,*,*,*,*,63.17,*,63.17
Dylan,Averill,*,*,*,*,*,*,*,*,63.16,63.16
SCOTT,HOLMES,62.87,*,*,*,*,*,*,*,*,62.87
PARKER,EASON,62.83,*,*,*,*,*,*,*,*,62.83
Olivier,Nicaise,*,*,*,*,*,*,*,*,62.52,62.52
KYLE,MIETLOWSKI,*,*,*,61.93,*,*,*,*,*,61.93
 Stephen,Servidio,*,*,61.72,*,*,*,*,*,*,61.72
DAVID,PLATT,61.38,*,*,*,*,*,*,*,*,61.38
JACOB,LITKE,*,61.11,*,*,*,*,*,*,*,61.11
PAUL,BOGUSH,61.03,*,*,*,*,*,*,*,*,61.03
DOUGLAS,CASA,*,60.65,*,*,*,*,*,*,*,60.65
Scott,Johnson,*,*,*,*,*,*,*,*,60.64,60.64
DIRK,JOHNSON,*,60.59,*,*,*,*,*,*,*,60.59
 Mark,Healey,*,*,60.52,*,*,*,*,*,*,60.52
 Joseph,Corrar,*,*,60.48,*,*,*,*,*,*,60.48
 David,Finegan,*,*,60.41,*,*,*,*,*,*,60.41
Don,Gamsjager,*,*,*,*,*,*,*,60.16,*,60.16
THOMAS,PAULIUS,60.02,*,*,*,*,*,*,*,*,60.02
Dave,Baer,*,*,*,*,60.02,*,*,*,*,60.02
NICK,JAEGER,*,60.01,*,*,*,*,*,*,*,60.01
Sean,Kennedy,*,*,*,*,59.67,*,*,*,*,59.67
JEFF,SULLIVAN,59.58,*,*,*,*,*,*,*,*,59.58
Shane,Kegler,*,*,*,*,59.47,*,*,*,*,59.47
 Dom,Romano,*,*,59.41,*,*,*,*,*,*,59.41
JACOB,EARP,*,*,*,59.38,*,*,*,*,*,59.38
DOUGLAS,LORD,*,*,*,59.37,*,*,*,*,*,59.37
CHRIS,MERRILL,*,59.27,*,*,*,*,*,*,*,59.27
William,Jara,*,*,*,*,*,*,59.25,*,*,59.25
JIM,HOFFECKER,*,59.14,*,*,*,*,*,*,*,59.14
DREW,DARLEY,*,*,*,58.93,*,*,*,*,*,58.93
Hedley,Freake,*,*,*,*,58.87,*,*,*,*,58.87
JOSE,MELO,*,*,*,58.84,*,*,*,*,*,58.84
Kerry,Anderson,*,*,*,*,58.69,*,*,*,*,58.69
Matthew,Austin,*,*,*,*,*,*,58.64,*,*,58.64
 Milton,Levin,*,*,58.41,*,*,*,*,*,*,58.41
CHRIS,STELLA,*,58.40,*,*,*,*,*,*,*,58.40
Geno,Ayala,*,*,*,*,58.29,*,*,*,*,58.29
KRISTIJAN,BEGIC,58.18,*,*,*,*,*,*,*,*,58.18
JIM,MAHONEY,58.16,*,*,*,*,*,*,*,*,58.16
LUDOVIC,BOURE,57.96,*,*,*,*,*,*,*,*,57.96
TOMMY,VANDERHEIDEN,57.93,*,*,*,*,*,*,*,*,57.93
DANA,BOUDREAU,57.92,*,*,*,*,*,*,*,*,57.92
BRIAN,VANDERHEIDEN,57.92,*,*,*,*,*,*,*,*,57.92
Alex,Kovner,*,*,*,*,*,*,57.74,*,*,57.74
DAVID,LEVAN,*,*,*,57.57,*,*,*,*,*,57.57
Christopher,Lawrence,*,*,*,*,*,*,*,*,57.14,57.14
MARK,GROSSMAN,57.03,*,*,*,*,*,*,*,*,57.03
Jason,Corsi,*,*,*,*,56.99,*,*,*,*,56.99
JOE,PIZZUTO,56.80,*,*,*,*,*,*,*,*,56.80
Todd,Green,*,*,*,*,*,*,*,56.76,*,56.76
HAMILTON,WHITE,56.68,*,*,*,*,*,*,*,*,56.68
STEPHEN,HILL,*,56.66,*,*,*,*,*,*,*,56.66
ERIC,VO,56.64,*,*,*,*,*,*,*,*,56.64
JEFFREY,ADAIR,*,*,*,56.64,*,*,*,*,*,56.64
ZACHARY,BOURE,56.63,*,*,*,*,*,*,*,*,56.63
Brian,Mischke,*,*,*,*,56.62,*,*,*,*,56.62
Ryan,Andrews,*,*,*,*,*,56.56,*,*,*,56.56
Timothy,Larson,*,*,*,*,56.21,*,*,*,*,56.21
PATRICK,FERNALD,*,55.88,*,*,*,*,*,*,*,55.88
D.J.,MASTELLA,55.82,*,*,*,*,*,*,*,*,55.82
 Matthew,Diglio,*,*,55.70,*,*,*,*,*,*,55.70
Jim,Henderson,*,*,*,*,55.60,*,*,*,*,55.60
SEAN,BOCHMAN,*,*,*,55.38,*,*,*,*,*,55.38
ED,COX,55.28,*,*,*,*,*,*,*,*,55.28
DAVID,SUTHERLAND,55.24,*,*,*,*,*,*,*,*,55.24
Christopher,Hrones,*,*,*,*,*,55.19,*,*,*,55.19
THOMAS,BUCHTER,55.11,*,*,*,*,*,*,*,*,55.11
 Mike,Lemay,*,*,55.08,*,*,*,*,*,*,55.08
BRIAN,BUCKLEY,*,54.79,*,*,*,*,*,*,*,54.79
TIM,GAGNE,54.62,*,*,*,*,*,*,*,*,54.62
Christian,Colone,*,*,*,*,*,*,54.44,*,*,54.44
Omar,Taweh,*,*,*,*,*,*,*,54.17,*,54.17
 Nathan,Wierzbicki,*,*,53.98,*,*,*,*,*,*,53.98
JAVIER,PERRONE,*,53.86,*,*,*,*,*,*,*,53.86
DAVID,BACKEBERG,*,*,*,53.86,*,*,*,*,*,53.86
PETER,OUELLETTE,*,*,*,53.85,*,*,*,*,*,53.85
MICHAEL,CARVALHO,*,53.72,*,*,*,*,*,*,*,53.72
 Richard,Paisker,*,*,53.61,*,*,*,*,*,*,53.61
STEVEN,MOORES,53.29,*,*,*,*,*,*,*,*,53.29
ALEX,SAWYER,53.20,*,*,*,*,*,*,*,*,53.20
ROB,SAWYER,53.20,*,*,*,*,*,*,*,*,53.20
Donald,Bellemare,*,*,*,*,*,53.14,*,*,*,53.14
BILL,LEARY,53.10,*,*,*,*,*,*,*,*,53.10
DANIEL,PUSZTAI,*,*,*,53.05,*,*,*,*,*,53.05
MARK,MCCARTY,*,*,*,53.04,*,*,*,*,*,53.04
BRIAN,GLENN,52.87,*,*,*,*,*,*,*,*,52.87
KEVIN,MALLOZZI,52.15,*,*,*,*,*,*,*,*,52.15
MIKE,SAIMOND,52.09,*,*,*,*,*,*,*,*,52.09
DAVID,HOOPLE,52.03,*,*,*,*,*,*,*,*,52.03
Pat,Marafiote,*,*,*,*,*,51.74,*,*,*,51.74
DANIEL,DANECKI,*,51.72,*,*,*,*,*,*,*,51.72
PAUL,MAILLET,*,*,*,51.68,*,*,*,*,*,51.68
Adam,Haig,*,*,*,*,*,51.61,*,*,*,51.61
ZAYNE,COUCH,*,*,*,51.55,*,*,*,*,*,51.55
 Craig,Szymanski,*,*,51.38,*,*,*,*,*,*,51.38
Ross,Petrone,*,*,*,*,*,51.19,*,*,*,51.19
Dennis,Hogan,*,*,*,*,51.19,*,*,*,*,51.19
 Poojan,Patel,*,*,50.92,*,*,*,*,*,*,50.92
MICHAEL,LEBLANC,*,50.90,*,*,*,*,*,*,*,50.90
ERIC,MOHAN,50.75,*,*,*,*,*,*,*,*,50.75
Louis,DeMichiel,*,*,*,*,50.70,*,*,*,*,50.70
PHILIP,MARKOVICH,50.60,*,*,*,*,*,*,*,*,50.60
Michael,Crooks,*,*,*,*,50.59,*,*,*,*,50.59
BRIAN,FLANAGAN,50.48,*,*,*,*,*,*,*,*,50.48
THOMAS,MENNER,50.23,*,*,*,*,*,*,*,*,50.23
MIKE,SALVON,*,50.12,*,*,*,*,*,*,*,50.12
ANDREW,MAILHOT,49.66,*,*,*,*,*,*,*,*,49.66
Steven,Kersey,*,*,*,*,49.50,*,*,*,*,49.50
MICHAEL,BRUNELLE,*,49.46,*,*,*,*,*,*,*,49.46
FRANCIS,BARONE,*,49.29,*,*,*,*,*,*,*,49.29
Christopher,Musco,*,*,*,*,*,*,49.29,*,*,49.29
 Kevin,Goyen,*,*,49.28,*,*,*,*,*,*,49.28
GBENGA,TAYLOR,49.15,*,*,*,*,*,*,*,*,49.15
Adam,Brewer,*,*,*,*,48.81,*,*,*,*,48.81
 Zachary,Capron,*,*,48.70,*,*,*,*,*,*,48.70
PATRICK,REDDIX,48.27,*,*,*,*,*,*,*,*,48.27
Robert,Michaud,*,*,*,*,*,*,47.96,*,*,47.96
BILL,BENTLEY,47.63,*,*,*,*,*,*,*,*,47.63
GAYLE,SMITH,47.09,*,*,*,*,*,*,*,*,47.09
DUSTIN,CASTALDO,46.60,*,*,*,*,*,*,*,*,46.60
Frank,Jurgens,*,*,*,*,45.75,*,*,*,*,45.75
CHRISTOPHER,NEWLAN,45.60,*,*,*,*,*,*,*,*,45.60
WILLIAM,HOEY,45.48,*,*,*,*,*,*,*,*,45.48
WILLIAM,DECOSTA,*,*,*,45.29,*,*,*,*,*,45.29
 Anthony,Rivera,*,*,45.24,*,*,*,*,*,*,45.24
Tom,Finn,*,*,*,*,45.21,*,*,*,*,45.21
Nate,Austin,*,*,*,*,*,*,44.82,*,*,44.82
 Dave,Provencher,*,*,44.70,*,*,*,*,*,*,44.70
Joe,Slepski,*,*,*,*,*,*,44.67,*,*,44.67
BRYAN,DAUPHINAIS,44.05,*,*,*,*,*,*,*,*,44.05
JOHN,HITCHINER,44.04,*,*,*,*,*,*,*,*,44.04
BENNY,MCNEILL,*,43.65,*,*,*,*,*,*,*,43.65
Steve,O'Donnell,*,*,*,*,43.47,*,*,*,*,43.47
 Adam,Osmond,*,*,42.26,*,*,*,*,*,*,42.26
 Brian,Fidler,*,*,42.08,*,*,*,*,*,*,42.08
LUCIO,BOLOGNANI,*,42.04,*,*,*,*,*,*,*,42.04
Stephen,Ross,*,*,*,*,*,42.02,*,*,*,42.02
BOB,WORSHAM,*,41.70,*,*,*,*,*,*,*,41.70
DYLAN,NICOLINI,40.51,*,*,*,*,*,*,*,*,40.51
RALPH,BLANCHARD,40.41,*,*,*,*,*,*,*,*,40.41
 Lee,Bradley,*,*,38.83,*,*,*,*,*,*,38.83
 Bill,Marshall,*,*,38.49,*,*,*,*,*,*,38.49
 Ryan,Kennedy,*,*,37.77,*,*,*,*,*,*,37.77
ENRIQUE,TELLO,37.53,*,*,*,*,*,*,*,*,37.53
STEVEN,BRYANT,*,*,*,37.21,*,*,*,*,*,37.21
 Christopher,Reale,*,*,35.21,*,*,*,*,*,*,35.21
JAMES,RUSSO,34.82,*,*,*,*,*,*,*,*,34.82
JAMES,RICHARD,27.25,*,*,*,*,*,*,*,*,27.25
